Rank,team,Part,games_played,W,D,L,GF,GA,goal_difference,Pts,win_rate
1,Egypt,25,107,60,20,27,168,90,78,200,0.5607476635514018
2,Ghana,23,102,54,21,27,133,87,46,183,0.5294117647058824
3,Nigeria,19,97,53,22,22,137,91,46,181,0.5463917525773195
4,Cameroon,20,91,45,30,16,137,82,55,165,0.4945054945054945
5,Ivory Coast,24,99,44,30,25,143,101,42,162,0.4444444444444444
6,Algeria,19,77,28,22,27,94,89,5,106,0.36363636363636365
7,Morocco,18,70,27,24,19,82,63,19,105,0.38571428571428573
8,Tunisia,20,80,25,29,26,99,94,5,104,0.3125
9,Senegal,16,67,27,17,23,78,56,22,98,0.40298507462686567
10,Zambia,17,67,26,20,21,81,69,12,98,0.3880597014925373
11,Dr Congo,19,73,20,24,29,88,102,-14,84,0.273972602739726
12,Mali,12,54,19,19,16,65,65,0,76,0.35185185185185186
13,South Africa,10,42,16,13,14,48,45,3,61,0.38095238095238093
14,Guinea,13,47,13,17,17,61,66,-5,56,0.2765957446808511
15,Burkina Faso,12,48,9,16,23,47,72,-25,43,0.1875
16,Gabon,8,25,7,10,8,24,27,-3,31,0.28
17,Sudan,9,27,7,7,13,29,42,-13,28,0.25925925925925924
18,Congo,7,26,7,7,12,27,40,-13,28,0.2692307692307692
19,Ethiopia,11,30,7,4,19,31,67,-36,25,0.23333333333333334
20,Angola,8,26,4,12,10,30,39,-9,24,0.15384615384615385
21,Equatorial Guinea,3,15,6,4,5,11,14,-3,22,0.4
22,Togo,8,25,3,8,14,19,42,-23,17,0.12
23,Uganda,7,23,4,3,16,21,38,-17,15,0.17391304347826086
24,Libya,3,11,3,5,3,12,13,-1,14,0.2727272727272727
25,Cape Verde,3,11,2,6,3,6,9,-3,12,0.18181818181818182
26,Zimbabwe,5,15,3,2,10,16,31,-15,11,0.2
27,Gambia,1,5,3,1,1,4,3,1,10,0.6
28,Kenya,6,17,2,4,11,12,31,-19,10,0.11764705882352941
29,Madagascar,1,5,2,2,1,7,7,0,8,0.4
30,Malawi,3,10,2,2,6,9,15,-6,8,0.2
31,Sierra Leone,3,8,1,3,4,4,14,-10,6,0.125
32,Liberia,2,5,1,2,2,5,7,-2,5,0.2
33,Benin,4,14,0,5,9,7,24,-17,5,0.0
34,Rwanda,1,3,1,1,1,3,3,0,4,0.3333333333333333
35,Comoros,1,4,1,0,3,4,7,-3,3,0.25
36,Guinea-Bissau,3,9,0,3,6,2,12,-10,3,0.0
37,Mauritania,2,6,0,2,4,1,11,-10,2,0.0
38,Namibia,3,9,0,2,7,10,24,-14,2,0.0
39,Mozambique,4,12,0,2,10,4,26,-22,2,0.0
40,Niger,2,6,0,1,5,1,9,-8,1,0.0
41,Tanzania,2,6,0,1,5,5,14,-9,1,0.0
42,Burundi,1,3,0,0,3,0,4,-4,0,0.0
43,Mauritius,1,3,0,0,3,2,8,-6,0,0.0
44,Botswana,1,3,0,0,3,2,9,-7,0,0.0
